Id,Name,Rating,AnnualRevenue
001d200000IJbkhAAD,Sample Account for Entitlements,Warm,
001d200000IJj9JAAT,Edge Communications,Hot,139000000
001d200000IJj9KAAT,Burlington Textiles Corp of America,Warm,350000000
001d200000IJj9LAAT,Pyramid Construction Inc.,Warm,950000000
001d200000IJj9MAAT,Dickenson plc,Warm,50000000
001d200000IJj9NAAT,Grand Hotels & Resorts Ltd,Warm,500000000
001d200000IJj9OAAT,United Oil & Gas Corp.,Hot,5600000000
001d200000IJj9PAAT,Express Logistics and Transport,Cold,950000000
001d200000IJj9QAAT,University of Arizona,Warm,
001d200000IJj9RAAT,"United Oil & Gas, UK",Warm,
001d200000IJj9SAAT,"United Oil & Gas, Singapore",Warm,
001d200000IJj9TAAT,GenePoint,Cold,30000000
001d200000IJj9UAAT,sForce,Warm,
